mchi1,mchipm1,Final_CLs,exclusion
156.295607,177.325463,0.0,0
48.5985017,336.712357,0.025369758,0
303.955804,758.899158,0.0613,1
574.471525,575.039848,1.0,1
1109.78451,1140.36725,1.0,1
29.0511526,227.901457,0.00012859162,0
373.651502,374.637427,0.927,1
348.779575,350.228612,0.0873,1
857.854359,1188.93283,0.981,1
804.268067,805.061019,0.76,1
476.601384,525.98816,0.818,1
266.538624,270.244492,0.166,1
41.9500396,130.648429,0.000117,0
1194.38293,1196.33883,1.0,1
786.84482,1304.71017,1.0,1
539.797803,540.615049,1.0,1
149.120077,152.621243,0.39,1
266.343092,268.943509,0.918,1
452.117541,452.287883,0.682,1
423.613379,925.618732,0.386,1
382.861243,383.016716,0.0,0
299.603873,299.775104,0.0,0
82.017375,982.845691,0.37,1
695.962025,698.164235,0.791,1
562.735367,663.240798,0.907,1
466.177415,468.051013,0.404,1
235.333528,243.778453,0.174,1
890.520565,899.228339,0.865,1
553.495096,814.853991,0.592,1
938.510207,1827.75045,1.0,1
1091.90417,1092.5139,1.0,1
533.203968,1297.64789,1.0,1
708.11265,875.068229,0.96,1
398.687046,399.707688,1.0,1
1449.60565,1451.03657,1.0,1
293.398784,297.561821,0.695,1
643.575894,1096.45988,0.717,1
251.4331,256.162757,0.915,1
249.325257,251.488899,1.0,1
118.934907,119.121429,0.0,0
1753.50319,1754.42348,1.0,1
714.74442,715.37824,0.947,1
67.6817034,366.489907,0.17137142,1
272.966709,273.152459,0.54,1
183.025439,363.595473,0.248,1
489.451383,938.338134,0.568,1
382.015427,1430.44492,1.0,1
435.993087,436.612993,0.873,1
348.208472,350.575261,0.864,1
931.736737,1810.89201,1.0,1
109.280219,110.830727,0.000277,0
472.124192,473.186904,0.723,1
893.924684,894.460461,1.0,1
363.789208,984.469695,0.294,1
815.988592,819.710308,1.0,1
554.194238,1694.98862,1.0,1
928.326635,1427.94898,1.0,1
1101.10452,1101.62471,0.941,1
322.559649,324.793856,0.725,1
127.830261,137.039868,0.0295,0
252.572424,255.127922,0.617,1
494.699645,496.099366,0.549,1
